episode_id,station_id,fault_type,parameters,start_index,end_index,start_timestamp,end_timestamp,seed
AWS-BHO-030:71002:0001,AWS-BHO-030,spike,"[""temperature_c""]",1518,1518,2025-03-05 06:00:00,2025-03-05 06:00:00,71002
AWS-BHO-030:71002:0002,AWS-BHO-030,spike,"[""pressure_hpa""]",377,377,2025-01-16 17:00:00,2025-01-16 17:00:00,71002
AWS-BHO-030:71002:0003,AWS-BHO-030,spike,"[""pressure_hpa""]",1706,1706,2025-03-13 02:00:00,2025-03-13 02:00:00,71002
AWS-BHO-030:71002:0004,AWS-BHO-030,spike,"[""pressure_hpa""]",195,195,2025-01-09 03:00:00,2025-01-09 03:00:00,71002
AWS-BHO-030:71002:0005,AWS-BHO-030,spike,"[""pressure_hpa""]",672,672,2025-01-29 00:00:00,2025-01-29 00:00:00,71002
AWS-BHO-030:71002:0006,AWS-BHO-030,spike,"[""pressure_hpa""]",2081,2081,2025-03-28 17:00:00,2025-03-28 17:00:00,71002
AWS-BHO-030:71002:0007,AWS-BHO-030,spike,"[""temperature_c""]",594,594,2025-01-25 18:00:00,2025-01-25 18:00:00,71002
AWS-BHO-030:71002:0008,AWS-BHO-030,spike,"[""pressure_hpa""]",1327,1327,2025-02-25 07:00:00,2025-02-25 07:00:00,71002
AWS-BHO-030:71002:0009,AWS-BHO-030,spike,"[""pressure_hpa""]",1398,1398,2025-02-28 06:00:00,2025-02-28 06:00:00,71002
AWS-BHO-030:71002:0010,AWS-BHO-030,spike,"[""temperature_c""]",176,176,2025-01-08 08:00:00,2025-01-08 08:00:00,71002
AWS-BHO-030:71002:0011,AWS-BHO-030,frozen_value,"[""humidity_pct""]",1796,1802,2025-03-16 20:00:00,2025-03-17 02:00:00,71002
AWS-BHO-030:71002:0012,AWS-BHO-030,frozen_value,"[""humidity_pct""]",168,175,2025-01-08 00:00:00,2025-01-08 07:00:00,71002
AWS-BHO-030:71002:0013,AWS-BHO-030,frozen_value,"[""humidity_pct""]",2006,2014,2025-03-25 14:00:00,2025-03-25 22:00:00,71002
