h,q,lambda,persist,candidate_rows,add_tp,add_fp,union_tp,union_fp,union_precision,union_recall,candidate_recall,candidate_precision
12,0.99,0.0,1of1,7004,2383,4495,2452,5494,0.3085829348099673,0.6293634496919918,0.6237166324435318,0.34694460308395203
12,0.99,0.5,1of1,5664,2269,3295,2338,4294,0.3525331724969843,0.6001026694045175,0.5941991786447639,0.4087217514124294
12,0.995,0.0,1of1,5744,2244,3394,2313,4393,0.3449150014912019,0.5936858316221766,0.587782340862423,0.3986768802228412
12,0.99,1.0,1of1,5164,2189,2883,2258,3882,0.36775244299674265,0.5795687885010267,0.5731519507186859,0.4324167312161115
12,0.995,0.5,1of1,4873,2154,2632,2223,3631,0.37974034847967203,0.5705852156057495,0.5646817248459959,0.45146726862302483
12,0.99,0.0,2of3,6305,2139,4055,2208,5054,0.3040484714954558,0.5667351129363449,0.5590349075975359,0.34544012688342585
6,0.99,0.0,1of1,5911,2063,3741,2132,4740,0.31024447031431895,0.5472279260780287,0.5402977412731006,0.35611571646083573
12,0.995,1.0,1of1,4501,2060,2362,2129,3361,0.3877959927140255,0.5464579055441479,0.5397843942505134,0.46722950455454343
12,0.99,2.0,1of1,4467,2021,2368,2090,3367,0.3829943192230163,0.5364476386036962,0.5292607802874744,0.46160734273561677
12,0.99,0.5,2of3,5107,2020,2997,2089,3996,0.34330320460147906,0.5361909650924025,0.5279774127310062,0.4027804973565694
12,0.995,0.0,2of3,5225,2002,3136,2071,4135,0.3337093135675153,0.5315708418891171,0.5231006160164271,0.39004784688995214
6,0.99,0.5,1of1,4814,1959,2770,2028,3769,0.34983612213213733,0.5205338809034907,0.5133470225872689,0.4154549231408392
12,0.999,0.0,1of1,4133,1953,2115,2022,3114,0.39369158878504673,0.518993839835729,0.5112936344969199,0.4819743527703847
12,0.99,1.0,2of3,4673,1943,2649,2012,3648,0.35547703180212015,0.5164271047227926,0.507700205338809,0.4232826877808688
6,0.995,0.0,1of1,4722,1922,2716,1991,3715,0.3489309498773221,0.5110369609856262,0.5033367556468172,0.41529013130029646
12,0.995,2.0,1of1,3964,1914,1982,1983,2981,0.39947622884770345,0.5089835728952772,0.5012833675564682,0.49268415741675076
12,0.995,0.5,2of3,4496,1911,2507,1980,3506,0.36091870215092964,0.5082135523613963,0.49974332648870634,0.43305160142348753
12,0.999,0.5,1of1,3786,1888,1837,1957,2836,0.4083037763404966,0.5023100616016427,0.4940965092402464,0.5084521922873745
6,0.99,1.0,1of1,4322,1883,2362,1952,3361,0.3674007152268022,0.5010266940451745,0.49358316221765913,0.4449329014345211
6,0.995,0.5,1of1,3973,1827,2076,1896,3075,0.38141219070609533,0.486652977412731,0.47869609856262835,0.4694185753838409
12,0.99,0.0,3of4,4838,1822,2930,1891,3929,0.32491408934707905,0.4853696098562628,0.4768993839835729,0.3840429929723026
12,0.995,1.0,2of3,4162,1820,2273,1889,3272,0.36601433830652974,0.48485626283367556,0.4756160164271047,0.44521864488226814
12,0.999,1.0,1of1,3563,1815,1690,1884,2689,0.41198338071287993,0.48357289527720737,0.47510266940451745,0.5195060342408083
6,0.99,0.0,2of3,5183,1803,3290,1872,4289,0.303846778120435,0.4804928131416838,0.4709958932238193,0.3540420605826741
6,0.99,2.0,1of1,3810,1785,1966,1854,2965,0.384727121809504,0.4758726899383984,0.46765913757700206,0.47821522309711284
12,0.99,2.0,2of3,4026,1776,2186,1845,3185,0.3667992047713718,0.47356262833675566,0.46406570841889117,0.4490809736711376
6,0.995,1.0,1of1,3688,1773,1854,1842,2853,0.39233226837060703,0.47279260780287474,0.4643223819301848,0.49050976138828634
