h,q,lambda,persist,candidate_rows,add_tp,add_fp,union_tp,union_fp,union_precision,union_recall,candidate_precision
12,0.99,0,1of1,6550,2420,4008,2489,5007,0.3320437566702241,0.6388603696098563,0.37694656488549616
12,0.995,0,1of1,6246,2384,3742,2453,4741,0.3409785932721712,0.6296201232032854,0.3895292987512008
12,0.999,0,1of1,6125,2356,3651,2425,4650,0.34275618374558303,0.6224332648870636,0.3923265306122449
12,0.99,1,1of1,4605,2221,2306,2290,3305,0.4092940125111707,0.587782340862423,0.49185667752442996
6,0.99,0,1of1,6366,2207,4045,2276,5044,0.3109289617486339,0.5841889117043121,0.353440150801131
12,0.995,1,1of1,4353,2188,2092,2257,3091,0.4220269259536275,0.579312114989733,0.512749827705031
12,0.999,1,1of1,4211,2160,1982,2229,2981,0.42783109404990405,0.5721252566735113,0.5231536452149134
6,0.995,0,1of1,5195,2147,2955,2216,3954,0.3591572123176661,0.5687885010266941,0.4215591915303176
12,0.99,0,2of3,5310,2140,3073,2209,4072,0.35169558987422384,0.5669917864476386,0.4101694915254237
6,0.999,0,1of1,5057,2115,2849,2184,3848,0.3620689655172414,0.5605749486652978,0.4267352185089974
12,0.995,0,2of3,5098,2112,2897,2181,3896,0.35889419121276944,0.5598049281314168,0.42173401333856414
12,0.99,2,1of1,4152,2093,1990,2162,2989,0.41972432537371385,0.5549281314168378,0.513728323699422
12,0.999,0,2of3,5001,2086,2829,2155,3828,0.36018719705833196,0.5531314168377823,0.4247150569886023
12,0.995,2,1of1,4020,2067,1887,2136,2886,0.4253285543608124,0.5482546201232033,0.5241293532338308
12,0.999,2,1of1,3948,2047,1837,2116,2836,0.4273021001615509,0.5431211498973306,0.5286220871327254
6,0.99,1,1of1,4130,2020,2037,2089,3036,0.40760975609756095,0.5361909650924025,0.49951573849878933
6,0.995,1,1of1,3739,1970,1701,2039,2700,0.4302595484279384,0.5233572895277208,0.5383792457876437
6,0.999,1,1of1,3548,1947,1536,2016,2535,0.44297956493078444,0.5174537987679672,0.560879368658399
12,0.99,1,2of3,3964,1936,1963,2005,2962,0.40366418361183815,0.5146303901437371,0.49722502522704337
12,0.995,1,2of3,3819,1916,1843,1985,2842,0.4112285063186244,0.5094969199178645,0.5108667190363969
6,0.99,2,1of1,3811,1915,1826,1984,2825,0.412559783738823,0.5092402464065708,0.5135135135135135
6,0.99,0,2of3,4908,1910,2908,1979,3907,0.33622154264356097,0.5079568788501027,0.3960880195599022
12,0.999,1,2of3,3719,1882,1778,1951,2777,0.4126480541455161,0.5007700205338809,0.5154611454692122
6,0.995,2,1of1,3448,1872,1513,1941,2512,0.43588591960476086,0.49820328542094455,0.5551044083526682
6,0.995,0,2of3,4246,1856,2314,1925,3313,0.3675066819396716,0.4940965092402464,0.44512482336316533
6,0.999,2,1of1,3366,1853,1450,1922,2449,0.4397163120567376,0.49332648870636553,0.5629827688651218
6,0.999,0,2of3,4141,1828,2239,1897,3238,0.3694255111976631,0.48690965092402466,0.4494083554696933
12,0.99,0,3of4,3911,1819,2019,1888,3018,0.3848348960456584,0.48459958932238195,0.4743032472513424
12,0.99,2,2of3,3631,1813,1761,1882,2760,0.4054286945282206,0.4830595482546201,0.5083998898375103
12,0.995,0,3of4,3793,1795,1927,1864,2926,0.38914405010438413,0.4784394250513347,0.4827313472185605
12,0.995,2,2of3,3552,1787,1709,1856,2708,0.406660823838738,0.47638603696098564,0.5123873873873874
12,0.999,0,3of4,3730,1769,1891,1838,2890,0.38874788494077833,0.4717659137577002,0.4839142091152815
12,0.999,2,2of3,3495,1766,1675,1835,2674,0.40696385007762254,0.4709958932238193,0.5147353361945637
