utc_hour,fp_count,percentage
0,1367,4.019878844909722
1,1330,3.9110745162618357
2,1311,3.855202023172381
3,1546,4.546256542963007
4,1524,4.48156207728048
5,1413,4.155149091336823
6,1479,4.349232488384402
7,1420,4.17573369405399
8,1410,4.146327118743751
9,1493,4.390401693818738
10,1504,4.4227489266600015
11,1405,4.131623831088631
12,1256,3.6934658589660647
13,1323,3.890489913544669
14,1378,4.052226077750985
15,1288,3.787566899958831
16,1393,4.096335940716344
17,1480,4.352173145915426
18,1425,4.19043698170911
19,1476,4.340410515791331
20,1433,4.213962241957302
21,1426,4.193377639240134
22,1420,4.17573369405399
23,1506,4.4286302417220496
